,feature,importance
21,value__last_location_of_maximum,0.00028620774410425225
255,"value__fft_coefficient__attr_""real""__coeff_25",0.0002831049056047926
602,"value__fft_coefficient__attr_""angle""__coeff_74",0.00027867199642066617
621,"value__fft_coefficient__attr_""angle""__coeff_93",0.00027156627799622537
637,value__approximate_entropy__m_2__r_0.9,0.00027021133914544623
685,value__lempel_ziv_complexity__bins_10,0.0002665186013511467
478,"value__fft_coefficient__attr_""abs""__coeff_49",0.0002614320037839853
238,"value__fft_coefficient__attr_""real""__coeff_8",0.00025533907654971626
459,"value__fft_coefficient__attr_""abs""__coeff_30",0.0002495100863859124
640,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",0.00024573724276837517
347,"value__fft_coefficient__attr_""imag""__coeff_18",0.00024509727180514377
77,"value__agg_autocorrelation__f_agg_""mean""__maxlag_40",0.0002413497832548917
600,"value__fft_coefficient__attr_""angle""__coeff_72",0.00024041473769770185
152,"value__cwt_coefficients__coeff_14__w_2__widths_(2, 5, 10, 20)",0.00024024511792641347
210,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",0.00023993229350609144
586,"value__fft_coefficient__attr_""angle""__coeff_58",0.0002393517871208154
587,"value__fft_coefficient__attr_""angle""__coeff_59",0.00023880961054446962
261,"value__fft_coefficient__attr_""real""__coeff_31",0.00023771197147498763
418,"value__fft_coefficient__attr_""imag""__coeff_89",0.00023726301146022118
333,"value__fft_coefficient__attr_""imag""__coeff_4",0.00023270009519708932
523,"value__fft_coefficient__attr_""abs""__coeff_94",0.00022854365616297207
36,value__time_reversal_asymmetry_statistic__lag_2,0.00022814496776769704
631,value__value_count__value_1,0.00022761061411716695
388,"value__fft_coefficient__attr_""imag""__coeff_59",0.0002233418578461548
541,"value__fft_coefficient__attr_""angle""__coeff_13",0.00022330751388573505
497,"value__fft_coefficient__attr_""abs""__coeff_68",0.0002222957979700744
530,"value__fft_coefficient__attr_""angle""__coeff_2",0.0002182687960201442
419,"value__fft_coefficient__attr_""imag""__coeff_90",0.00021795492119030011
243,"value__fft_coefficient__attr_""real""__coeff_13",0.00021349876165459243
670,value__energy_ratio_by_chunks__num_segments_10__segment_focus_4,0.0002129099163957861
218,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",0.0002113645404138229
324,"value__fft_coefficient__attr_""real""__coeff_94",0.00020648939696229314
357,"value__fft_coefficient__attr_""imag""__coeff_28",0.00020648848347126273
567,"value__fft_coefficient__attr_""angle""__coeff_39",0.00020538156797953873
124,"value__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)",0.00020379332283561752
622,"value__fft_coefficient__attr_""angle""__coeff_94",0.00019947945472369006
448,"value__fft_coefficient__attr_""abs""__coeff_19",0.00019922431097474155
516,"value__fft_coefficient__attr_""abs""__coeff_87",0.00019829163075577827
610,"value__fft_coefficient__attr_""angle""__coeff_82",0.00019285359897196214
393,"value__fft_coefficient__attr_""imag""__coeff_64",0.00019168655674598674
619,"value__fft_coefficient__attr_""angle""__coeff_91",0.00019148386274889232
265,"value__fft_coefficient__attr_""real""__coeff_35",0.00019103852605295498
